sample_id,file_name,file_path,file_size_bytes,date,start_time,end_time,orbit_id,scan_size,ray_size,z_size,variable_count,variables,missing_key_variables,has_p,has_t,has_q,latitude_min,latitude_max,longitude_min,longitude_max,total_voxel_count,gr_sparse_valid_count,gr_sparse_valid_ratio,gr_interp_valid_count,gr_interp_valid_ratio,gr_profiles_with_observation,gr_below_9dbz_count,dpr_dbz_valid_count,dpr_dbz_valid_ratio,pre_valid_count,pre_missing_count,pre_zero_count,pre_positive_count,pre_zero_ratio,pre_qc_valid_count,pre_qc_zero_count,pre_qc_positive_count,gr_dpr_overlap_count,gr_valid_pre_positive_count,gr_missing_pre_positive_count,gr_missing_interp_valid_count,pre_p50_positive,pre_p90_positive,pre_p95_positive,pre_p99_positive,pre_max,pre_gt_1_count,pre_gt_5_count,pre_gt_10_count,pre_gt_20_count,pre_gt_50_count,no_precip_profile_count,stratiform_profile_count,convective_profile_count,other_precip_profile_count,cfb_valid_profile_count,cfb_invalid_profile_count,cfb_clutter_cell_count,dpr_mask_equals_positive_rain,dpr_valid_pre_zero_count,dpr_missing_pre_positive_count,status,warning_count,warning_messages,split
2A.GPM.DPR.V9-20211125.20170505-S070010-E083244.018088.V07A,2A.GPM.DPR.V9-20211125.20170505-S070010-E083244.018088.V07A.nc,/storage/GR_DPR_3D/GRToDPRRes_V07_Pct_V1.2.1_sw_260412/2A.GPM.DPR.V9-20211125.20170505-S070010-E083244.018088.V07A.nc,25272460,2017-05-05,2017-05-05T07:31:19,2017-05-05T07:32:26,018088,97,49,60,23,"z,p,t,q,lat,lon,dbz_gr_sparse,dbz_gr_sparse_min,dbz_gr_sparse_max,dbz_gr_interp,sw_gr_sparse,sw_gr_sparse_min,sw_gr_sparse_max,dbz_dpr,pre_dpr,cfb,scan_id,time,nsrr_dpr,srr_dpr,binRealSurface,typePrecip,flagPrecip",,True,True,True,27.59146499633789,32.465675354003906,102.62959289550781,107.0743637084961,285180,1357,0.004758398204642682,11274,0.03953292657269093,837,412,15949,0.05592608177291535,275221,9959,259272,15949,0.9420502069246169,247114,236397,10717,383,383,15566,9917,0.5299999713897705,1.5700000524520874,2.0480000019073414,4.601199913024929,13.979999542236328,3629,145,35,0,0,3583,829,311,30,4753,0,38066,True,0,0,ok,0,,test
2A.GPM.DPR.V9-20211125.20170505-S144306-E161540.018093.V07A,2A.GPM.DPR.V9-20211125.20170505-S144306-E161540.018093.V07A.nc,/storage/GR_DPR_3D/GRToDPRRes_V07_Pct_V1.2.1_sw_260412/2A.GPM.DPR.V9-20211125.20170505-S144306-E161540.018093.V07A.nc,32823071,2017-05-05,2017-05-05T15:40:35,2017-05-05T15:42:03,018093,126,49,60,23,"z,p,t,q,lat,lon,dbz_gr_sparse,dbz_gr_sparse_min,dbz_gr_sparse_max,dbz_gr_interp,sw_gr_sparse,sw_gr_sparse_min,sw_gr_sparse_max,dbz_dpr,pre_dpr,cfb,scan_id,time,nsrr_dpr,srr_dpr,binRealSurface,typePrecip,flagPrecip",,True,True,True,35.829551696777344,41.86741638183594,120.44479370117188,126.43047332763672,370440,189,0.0005102040816326531,895,0.002416045783392722,94,122,0,0.0,369665,775,369665,0,1.0,335379,335379,0,0,0,0,706,,,,,,0,0,0,0,0,6174,0,0,0,6174,0,35061,True,0,0,ok,0,,test
2A.GPM.DPR.V9-20211125.20170505-S161541-E174815.018094.V07A,2A.GPM.DPR.V9-20211125.20170505-S161541-E174815.018094.V07A.nc,/storage/GR_DPR_3D/GRToDPRRes_V07_Pct_V1.2.1_sw_260412/2A.GPM.DPR.V9-20211125.20170505-S161541-E174815.018094.V07A.nc,81499729,2017-05-05,2017-05-05T17:16:14,2017-05-05T17:19:52,018094,313,49,60,23,"z,p,t,q,lat,lon,dbz_gr_sparse,dbz_gr_sparse_min,dbz_gr_sparse_max,dbz_gr_interp,sw_gr_sparse,sw_gr_sparse_min,sw_gr_sparse_max,dbz_dpr,pre_dpr,cfb,scan_id,time,nsrr_dpr,srr_dpr,binRealSurface,typePrecip,flagPrecip",,True,True,True,17.996557235717773,31.653247833251953,104.06602478027344,112.61792755126953,920220,23158,0.025165721240572907,74470,0.08092630023255308,6304,7557,51327,0.055776879441872595,899602,20618,848275,51327,0.9429447689089175,812867,775666,37201,8909,8909,42418,51312,0.7350000143051147,3.1219999313354565,4.7784996986389014,11.375,44.04499816894531,20196,2373,698,79,0,12441,2125,565,206,15337,0,107353,True,0,0,ok,0,,test
2A.GPM.DPR.V9-20211125.20170517-S025540-E042814.018272.V07A,2A.GPM.DPR.V9-20211125.20170517-S025540-E042814.018272.V07A.nc,/storage/GR_DPR_3D/GRToDPRRes_V07_Pct_V1.2.1_sw_260412/2A.GPM.DPR.V9-20211125.20170517-S025540-E042814.018272.V07A.nc,165838225,2017-05-17,2017-05-17T03:23:46,2017-05-17T03:31:11,018272,637,49,60,23,"z,p,t,q,lat,lon,dbz_gr_sparse,dbz_gr_sparse_min,dbz_gr_sparse_max,dbz_gr_interp,sw_gr_sparse,sw_gr_sparse_min,sw_gr_sparse_max,dbz_dpr,pre_dpr,cfb,scan_id,time,nsrr_dpr,srr_dpr,binRealSurface,typePrecip,flagPrecip",,True,True,True,17.029722213745117,43.323211669921875,106.83756256103516,124.08955383300781,1872780,11601,0.006194534328645116,36529,0.019505227522720235,6129,6092,3723,0.0019879537372248742,1861387,11393,1857664,3723,0.9979998785851626,1690600,1688146,2454,1097,1097,2626,24928,0.3449999988079071,1.324000024795533,2.219500041007994,3.545599956512446,33.17499923706055,540,10,1,1,0,30763,53,310,87,31213,0,182180,True,0,0,ok,0,,test
2A.GPM.DPR.V9-20211125.20170517-S121109-E134343.018278.V07A,2A.GPM.DPR.V9-20211125.20170517-S121109-E134343.018278.V07A.nc,/storage/GR_DPR_3D/GRToDPRRes_V07_Pct_V1.2.1_sw_260412/2A.GPM.DPR.V9-20211125.20170517-S121109-E134343.018278.V07A.nc,91130977,2017-05-17,2017-05-17T13:10:11,2017-05-17T13:14:15,018278,350,49,60,23,"z,p,t,q,lat,lon,dbz_gr_sparse,dbz_gr_sparse_min,dbz_gr_sparse_max,dbz_gr_interp,sw_gr_sparse,sw_gr_sparse_min,sw_gr_sparse_max,dbz_dpr,pre_dpr,cfb,scan_id,time,nsrr_dpr,srr_dpr,binRealSurface,typePrecip,flagPrecip",,True,True,True,21.777198791503906,36.71840286254883,110.05979919433594,120.1670913696289,1029000,33025,0.032094266277939744,86285,0.08385325558794947,9843,6911,154,0.00014965986394557823,1013814,15186,1013660,154,0.9998480983691288,916198,916120,78,34,34,120,53260,1.3200000524520874,2.698000049591065,3.245500040054321,4.5723500919342035,5.425000190734863,89,1,0,0,0,17136,2,11,1,17150,0,112802,True,0,0,ok,0,,test
2A.GPM.DPR.V9-20211125.20170522-S014422-E031656.018349.V07A,2A.GPM.DPR.V9-20211125.20170522-S014422-E031656.018349.V07A.nc,/storage/GR_DPR_3D/GRToDPRRes_V07_Pct_V1.2.1_sw_260412/2A.GPM.DPR.V9-20211125.20170522-S014422-E031656.018349.V07A.nc,142410865,2017-05-22,2017-05-22T02:13:24,2017-05-22T02:19:46,018349,547,49,60,23,"z,p,t,q,lat,lon,dbz_gr_sparse,dbz_gr_sparse_min,dbz_gr_sparse_max,dbz_gr_interp,sw_gr_sparse,sw_gr_sparse_min,sw_gr_sparse_max,dbz_dpr,pre_dpr,cfb,scan_id,time,nsrr_dpr,srr_dpr,binRealSurface,typePrecip,flagPrecip",,True,True,True,20.303150177001953,42.96602249145508,104.42635345458984,119.89445495605469,1608180,27752,0.017256774739146115,92093,0.057265355868124215,6555,4669,83735,0.05206817644791006,1560049,48131,1476314,83735,0.9463254038815447,1406090,1344590,61500,19495,19495,64240,64341,0.949999988079071,4.909999847412109,7.771500349044814,16.441500244140713,77.41999816894531,40237,8132,2677,540,24,22486,3771,471,75,26803,0,202090,True,0,0,ok,0,,test
2A.GPM.DPR.V9-20211125.20170522-S105950-E123224.018355.V07A,2A.GPM.DPR.V9-20211125.20170522-S105950-E123224.018355.V07A.nc,/storage/GR_DPR_3D/GRToDPRRes_V07_Pct_V1.2.1_sw_260412/2A.GPM.DPR.V9-20211125.20170522-S105950-E123224.018355.V07A.nc,85143985,2017-05-22,2017-05-22T11:59:33,2017-05-22T12:03:22,018355,327,49,60,23,"z,p,t,q,lat,lon,dbz_gr_sparse,dbz_gr_sparse_min,dbz_gr_sparse_max,dbz_gr_interp,sw_gr_sparse,sw_gr_sparse_min,sw_gr_sparse_max,dbz_dpr,pre_dpr,cfb,scan_id,time,nsrr_dpr,srr_dpr,binRealSurface,typePrecip,flagPrecip",,True,True,True,20.324668884277344,34.40631103515625,107.70355987548828,116.96465301513672,961380,49561,0.05155193575901309,124891,0.1299080488464499,7614,8396,98341,0.10229149763881087,939011,22369,840670,98341,0.8952717273812554,844121,769534,74587,34091,34091,64250,75330,0.7900000214576721,3.6399998664855957,5.900000095367432,16.267000198364375,85.5,40716,6269,2298,624,48,11635,3577,533,278,16023,0,117259,True,0,0,ok,0,,test
2A.GPM.DPR.V9-20211125.20170524-S013418-E030652.018380.V07A,2A.GPM.DPR.V9-20211125.20170524-S013418-E030652.018380.V07A.nc,/storage/GR_DPR_3D/GRToDPRRes_V07_Pct_V1.2.1_sw_260412/2A.GPM.DPR.V9-20211125.20170524-S013418-E030652.018380.V07A.nc,25532748,2017-05-24,2017-05-24T02:05:33,2017-05-24T02:06:41,018380,98,49,60,23,"z,p,t,q,lat,lon,dbz_gr_sparse,dbz_gr_sparse_min,dbz_gr_sparse_max,dbz_gr_interp,sw_gr_sparse,sw_gr_sparse_min,sw_gr_sparse_max,dbz_dpr,pre_dpr,cfb,scan_id,time,nsrr_dpr,srr_dpr,binRealSurface,typePrecip,flagPrecip",,True,True,True,27.91117286682129,32.89670181274414,101.99078369140625,106.43756866455078,288120,241,0.0008364570317923088,3820,0.013258364570317923,166,40,7467,0.025916284881299458,269919,18201,262452,7467,0.9723361452880308,240225,234157,6068,85,85,7382,3579,0.36500000953674316,0.9900000095367432,1.3050000309944152,2.836999917030342,14.03499984741211,728,15,1,0,0,4121,188,55,438,4802,0,47895,True,0,0,ok,0,,test
2A.GPM.DPR.V9-20211125.20170524-S091712-E104945.018385.V07A,2A.GPM.DPR.V9-20211125.20170524-S091712-E104945.018385.V07A.nc,/storage/GR_DPR_3D/GRToDPRRes_V07_Pct_V1.2.1_sw_260412/2A.GPM.DPR.V9-20211125.20170524-S091712-E104945.018385.V07A.nc,44536031,2017-05-24,2017-05-24T10:14:16,2017-05-24T10:16:15,018385,171,49,60,23,"z,p,t,q,lat,lon,dbz_gr_sparse,dbz_gr_sparse_min,dbz_gr_sparse_max,dbz_gr_interp,sw_gr_sparse,sw_gr_sparse_min,sw_gr_sparse_max,dbz_dpr,pre_dpr,cfb,scan_id,time,nsrr_dpr,srr_dpr,binRealSurface,typePrecip,flagPrecip",,True,True,True,35.48847961425781,43.162113189697266,118.43359375,125.84955596923828,502740,1253,0.0024923419660261765,6506,0.012941082865894895,837,597,417,0.0008294545888530851,499091,3649,498674,417,0.9991644810265062,452919,452559,360,38,38,379,5253,0.3100000023841858,0.6799999713897705,0.7970000028610228,1.1160000085830681,1.4500000476837158,8,0,0,0,0,8336,7,0,36,8379,0,49821,True,0,0,ok,0,,test
2A.GPM.DPR.V9-20211125.20170524-S104946-E122220.018386.V07A,2A.GPM.DPR.V9-20211125.20170524-S104946-E122220.018386.V07A.nc,/storage/GR_DPR_3D/GRToDPRRes_V07_Pct_V1.2.1_sw_260412/2A.GPM.DPR.V9-20211125.20170524-S104946-E122220.018386.V07A.nc,81760033,2017-05-24,2017-05-24T11:50:25,2017-05-24T11:54:04,018386,314,49,60,23,"z,p,t,q,lat,lon,dbz_gr_sparse,dbz_gr_sparse_min,dbz_gr_sparse_max,dbz_gr_interp,sw_gr_sparse,sw_gr_sparse_min,sw_gr_sparse_max,dbz_dpr,pre_dpr,cfb,scan_id,time,nsrr_dpr,srr_dpr,binRealSurface,typePrecip,flagPrecip",,True,True,True,17.650419235229492,31.279306411743164,103.38375854492188,111.9493179321289,923160,14068,0.015238961826768925,49469,0.053586593873218076,2913,2403,36553,0.03959551973655704,900173,22987,863620,36553,0.9593933610539307,812915,781271,31644,9572,9572,26981,35401,0.7350000143051147,4.699999809265137,9.0,37.68000030517578,299.9200134277344,14129,3451,1654,765,193,13952,571,336,527,15386,0,110245,True,0,0,ok,0,,test
